name,area_hint,categories,recommendations,accounts,naver_search,kakao_search
월 17일부터 개최되는 <제30회 부산국제영화제>,부산,카페,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2017%EC%9D%BC%EB%B6%80%ED%84%B0%20%EA%B0%9C%EC%B5%9C%EB%90%98%EB%8A%94%20%3C%EC%A0%9C30%ED%9A%8C%20%EB%B6%80%EC%82%B0%EA%B5%AD%EC%A0%9C%EC%98%81%ED%99%94%EC%A0%9C%3E%20%EB%B6%80%EC%82%B0,https://map.kakao.com/link/search/%EC%9B%94%2017%EC%9D%BC%EB%B6%80%ED%84%B0%20%EA%B0%9C%EC%B5%9C%EB%90%98%EB%8A%94%20%3C%EC%A0%9C30%ED%9A%8C%20%EB%B6%80%EC%82%B0%EA%B5%AD%EC%A0%9C%EC%98%81%ED%99%94%EC%A0%9C%3E%20%EB%B6%80%EC%82%B0
월 17일 금요일,,"쇼핑, 술집, 전시·문화, 카페",1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2017%EC%9D%BC%20%EA%B8%88%EC%9A%94%EC%9D%BC,https://map.kakao.com/link/search/%EC%9B%94%2017%EC%9D%BC%20%EA%B8%88%EC%9A%94%EC%9D%BC
월 17일 (월),,카페,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2017%EC%9D%BC%20%28%EC%9B%94%29,https://map.kakao.com/link/search/%EC%9B%94%2017%EC%9D%BC%20%28%EC%9B%94%29
월 17일 (금) *개별 DM 안내,,맛집,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2017%EC%9D%BC%20%28%EA%B8%88%29%20%2A%EA%B0%9C%EB%B3%84%20DM%20%EC%95%88%EB%82%B4,https://map.kakao.com/link/search/%EC%9B%94%2017%EC%9D%BC%20%28%EA%B8%88%29%20%2A%EA%B0%9C%EB%B3%84%20DM%20%EC%95%88%EB%82%B4
월 16일 (화) *개별 DM 안내,,맛집,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2016%EC%9D%BC%20%28%ED%99%94%29%20%2A%EA%B0%9C%EB%B3%84%20DM%20%EC%95%88%EB%82%B4,https://map.kakao.com/link/search/%EC%9B%94%2016%EC%9D%BC%20%28%ED%99%94%29%20%2A%EA%B0%9C%EB%B3%84%20DM%20%EC%95%88%EB%82%B4
월 14일부터 20일까지 더현대 서울 팝업을 연다는 소식!,,기타,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2014%EC%9D%BC%EB%B6%80%ED%84%B0%2020%EC%9D%BC%EA%B9%8C%EC%A7%80%20%EB%8D%94%ED%98%84%EB%8C%80%20%EC%84%9C%EC%9A%B8%20%ED%8C%9D%EC%97%85%EC%9D%84%20%EC%97%B0%EB%8B%A4%EB%8A%94%20%EC%86%8C%EC%8B%9D%21,https://map.kakao.com/link/search/%EC%9B%94%2014%EC%9D%BC%EB%B6%80%ED%84%B0%2020%EC%9D%BC%EA%B9%8C%EC%A7%80%20%EB%8D%94%ED%98%84%EB%8C%80%20%EC%84%9C%EC%9A%B8%20%ED%8C%9D%EC%97%85%EC%9D%84%20%EC%97%B0%EB%8B%A4%EB%8A%94%20%EC%86%8C%EC%8B%9D%21
월 13일 (월) 백화점 휴무일 CLOSED,,여행·숙소,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2013%EC%9D%BC%20%28%EC%9B%94%29%20%EB%B0%B1%ED%99%94%EC%A0%90%20%ED%9C%B4%EB%AC%B4%EC%9D%BC%20CLOSED,https://map.kakao.com/link/search/%EC%9B%94%2013%EC%9D%BC%20%28%EC%9B%94%29%20%EB%B0%B1%ED%99%94%EC%A0%90%20%ED%9C%B4%EB%AC%B4%EC%9D%BC%20CLOSED
월 13월,,카페,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2013%EC%9B%94,https://map.kakao.com/link/search/%EC%9B%94%2013%EC%9B%94
월 12일(목)에 열어요 ),대구,카페,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2012%EC%9D%BC%28%EB%AA%A9%29%EC%97%90%20%EC%97%B4%EC%96%B4%EC%9A%94%20%29%20%EB%8C%80%EA%B5%AC,https://map.kakao.com/link/search/%EC%9B%94%2012%EC%9D%BC%28%EB%AA%A9%29%EC%97%90%20%EC%97%B4%EC%96%B4%EC%9A%94%20%29%20%EB%8C%80%EA%B5%AC
월 11일부터 오픈하는 열리는 성수 파인드카푸어,,쇼핑,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2011%EC%9D%BC%EB%B6%80%ED%84%B0%20%EC%98%A4%ED%94%88%ED%95%98%EB%8A%94%20%EC%97%B4%EB%A6%AC%EB%8A%94%20%EC%84%B1%EC%88%98%20%ED%8C%8C%EC%9D%B8%EB%93%9C%EC%B9%B4%ED%91%B8%EC%96%B4,https://map.kakao.com/link/search/%EC%9B%94%2011%EC%9D%BC%EB%B6%80%ED%84%B0%20%EC%98%A4%ED%94%88%ED%95%98%EB%8A%94%20%EC%97%B4%EB%A6%AC%EB%8A%94%20%EC%84%B1%EC%88%98%20%ED%8C%8C%EC%9D%B8%EB%93%9C%EC%B9%B4%ED%91%B8%EC%96%B4
월 11일 (목) *개별 DM 안내,,"맛집, 카페",1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2011%EC%9D%BC%20%28%EB%AA%A9%29%20%2A%EA%B0%9C%EB%B3%84%20DM%20%EC%95%88%EB%82%B4,https://map.kakao.com/link/search/%EC%9B%94%2011%EC%9D%BC%20%28%EB%AA%A9%29%20%2A%EA%B0%9C%EB%B3%84%20DM%20%EC%95%88%EB%82%B4
월 10일부터 14일까지 코엑스에서 열린다고!,,기타,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2010%EC%9D%BC%EB%B6%80%ED%84%B0%2014%EC%9D%BC%EA%B9%8C%EC%A7%80%20%EC%BD%94%EC%97%91%EC%8A%A4%EC%97%90%EC%84%9C%20%EC%97%B4%EB%A6%B0%EB%8B%A4%EA%B3%A0%21,https://map.kakao.com/link/search/%EC%9B%94%2010%EC%9D%BC%EB%B6%80%ED%84%B0%2014%EC%9D%BC%EA%B9%8C%EC%A7%80%20%EC%BD%94%EC%97%91%EC%8A%A4%EC%97%90%EC%84%9C%20%EC%97%B4%EB%A6%B0%EB%8B%A4%EA%B3%A0%21
월 10일(금) *개별 DM 안내,,"맛집, 카페",1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2010%EC%9D%BC%28%EA%B8%88%29%20%2A%EA%B0%9C%EB%B3%84%20DM%20%EC%95%88%EB%82%B4,https://map.kakao.com/link/search/%EC%9B%94%2010%EC%9D%BC%28%EA%B8%88%29%20%2A%EA%B0%9C%EB%B3%84%20DM%20%EC%95%88%EB%82%B4
월 10일 (금),,맛집,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2010%EC%9D%BC%20%28%EA%B8%88%29,https://map.kakao.com/link/search/%EC%9B%94%2010%EC%9D%BC%20%28%EA%B8%88%29
월 (배성※),,"맛집, 쇼핑, 여행·숙소, 카페",1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%20%28%EB%B0%B0%EC%84%B1%E2%80%BB%29,https://map.kakao.com/link/search/%EC%9B%94%20%28%EB%B0%B0%EC%84%B1%E2%80%BB%29
원한+ 2만 5천원,,"여행·숙소, 카페",1,knewnew.official,https://map.naver.com/p/search/%EC%9B%90%ED%95%9C%2B%202%EB%A7%8C%205%EC%B2%9C%EC%9B%90,https://map.kakao.com/link/search/%EC%9B%90%ED%95%9C%2B%202%EB%A7%8C%205%EC%B2%9C%EC%9B%90
원티드버거,돌고개역,"맛집, 카페",1,knewnew.official,https://map.naver.com/p/search/%EC%9B%90%ED%8B%B0%EB%93%9C%EB%B2%84%EA%B1%B0%20%EB%8F%8C%EA%B3%A0%EA%B0%9C%EC%97%AD,https://map.kakao.com/link/search/%EC%9B%90%ED%8B%B0%EB%93%9C%EB%B2%84%EA%B1%B0%20%EB%8F%8C%EA%B3%A0%EA%B0%9C%EC%97%AD
